match_ID,best_of,round_num,tournament_ID
6855573267957931935,5,R128,2017-580
6855573267957931932,5,R128,2017-580
6855573267957931933,5,R128,2017-580
6855573267957931922,5,R128,2017-580
6855573267957931923,5,R128,2017-580
6855573267956931941,5,R128,2017-580
6855573267956931940,5,R128,2017-580
6855573267956931943,5,R128,2017-580
6855573267956931942,5,R128,2017-580
6855573267956931937,5,R128,2017-580
6855573267956931936,5,R128,2017-580
6855573267956931939,5,R128,2017-580
6855573267956931938,5,R128,2017-580
6855573267956931949,5,R128,2017-580
6855573267956931948,5,R128,2017-580
6855573267955931936,5,R128,2017-580
6855573267955931937,5,R128,2017-580
6855573267955931938,5,R128,2017-580
6855573267955931939,5,R128,2017-580
6855573267955931940,5,R128,2017-580
6855573267955931941,5,R128,2017-580
6855573267955931942,5,R128,2017-580
6855573267955931943,5,R128,2017-580
6855573267955931944,5,R128,2017-580
6855573267955931945,5,R128,2017-580
6855573267954931939,5,R128,2017-580
6855573267954931938,5,R128,2017-580
6855573267954931937,5,R128,2017-580
6855573267954931936,5,R128,2017-580
6855573267954931943,5,R128,2017-580
6855573267954931942,5,R128,2017-580
6855573267954931941,5,R128,2017-580
6855573267954931940,5,R128,2017-580
6855573267954931947,5,R128,2017-580
6855573267954931946,5,R128,2017-580
6855573267961931926,5,R128,2017-580
6855573267961931927,5,R128,2017-580
6855573267961931924,5,R128,2017-580
6855573267961931925,5,R128,2017-580
6855573267961931922,5,R128,2017-580
6855573267961931923,5,R128,2017-580
6855573267961931920,5,R128,2017-580
6855573267961931921,5,R128,2017-580
6855573267961931934,5,R128,2017-580
6855573267961931935,5,R128,2017-580
6855573267960931921,5,R128,2017-580
6855573267960931920,5,R128,2017-580
6855573267960931923,5,R128,2017-580
6855573267960931922,5,R128,2017-580
6855573267960931925,5,R128,2017-580
6855573267960931924,5,R128,2017-580
6855573267960931927,5,R128,2017-580
6855573267960931926,5,R128,2017-580
6855573267960931929,5,R128,2017-580
6855573267960931928,5,R128,2017-580
6855573267959931932,5,R128,2017-580
6855573267959931933,5,R128,2017-580
6855573267959931934,5,R128,2017-580
6855573267959931935,5,R128,2017-580
6855573267959931928,5,R64,2017-580
6855573267959931929,5,R64,2017-580
6855573267959931930,5,R64,2017-580
6855573267959931931,5,R64,2017-580
6855573267959931924,5,R64,2017-580
6855573267959931925,5,R64,2017-580
6855573267958931935,5,R64,2017-580
6855573267958931934,5,R64,2017-580
6855573267958931933,5,R64,2017-580
6855573267958931932,5,R64,2017-580
6855573267958931931,5,R64,2017-580
6855573267958931930,5,R64,2017-580
6855573267958931929,5,R64,2017-580
6855573267958931928,5,R64,2017-580
6855573267958931927,5,R64,2017-580
6855573267958931926,5,R64,2017-580
6855573267949931954,5,R64,2017-580
6855573267949931955,5,R64,2017-580
6855573267949931952,5,R64,2017-580
6855573267949931953,5,R64,2017-580
6855573267949931958,5,R64,2017-580
6855573267949931959,5,R64,2017-580
6855573267949931956,5,R64,2017-580
6855573267949931957,5,R64,2017-580
6855573267949931962,5,R64,2017-580
6855573267949931963,5,R64,2017-580
6855573267948931965,5,R64,2017-580
6855573267948931964,5,R64,2017-580
6855573267948931967,5,R64,2017-580
6855573267948931966,5,R64,2017-580
6855573267948931961,5,R64,2017-580
6855573267948931960,5,R64,2017-580
6855573267948931963,5,R32,2017-580
6855573267948931962,5,R32,2017-580
6855573267948931957,5,R32,2017-580
6855573267948931956,5,R32,2017-580
6855574267963931921,5,R32,2017-580
6855574267963931920,5,R32,2017-580
6855574267963931923,5,R32,2017-580
6855574267963931922,5,R32,2017-580
6855574267963931925,5,R32,2017-580
6855574267963931924,5,R32,2017-580
6855574267963931927,5,R32,2017-580
6855574267963931926,5,R32,2017-580
6855574267963931929,5,R32,2017-580
6855574267963931928,5,R32,2017-580
6855574267964931926,5,R32,2017-580
6855574267964931927,5,R32,2017-580
6855574267964931924,5,R16,2017-580
6855574267964931925,5,R16,2017-580
6855574267964931922,5,R16,2017-580
6855574267964931923,5,R16,2017-580
6855574267964931920,5,R16,2017-580
6855574267964931921,5,R16,2017-580
6855574267964931934,5,R16,2017-580
6855574267964931935,5,R16,2017-580
6855574267961931935,5,QF,2017-580
6855574267961931934,5,QF,2017-580
6855574267961931933,5,QF,2017-580
6855574267961931932,5,QF,2017-580
6855574267961931931,5,SF,2017-580
6855574267961931930,5,SF,2017-580
6855574267961931929,5,F,2017-580
